procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    165     14    434    0    0     0     0  915 9067  5  1 94  0  0
 0  0      0    165     14    434    0    0     0     0 1014 6563  2  3 95  0  0
 0  0      0    165     14    434    0    0     0     0 1642 16303 11  4 85  0  0
 0  0      0    165     14    434    0    0     0     0 1293 13656  6  5 89  0  0
 0  0      0    165     14    434    0    0     0     0 1455 9545  6  3 91  0  0
 0  0      0    165     14    434    0    0     0     0  627 7149  3  2 95  0  0
 0  0      0    165     14    434    0    0     0     0  533 3445  1  0 99  0  0
 0  0      0    165     14    434    0    0     0     0 1172 8060  4  3 93  0  0
 0  0      0    165     14    434    0    0     0     0  945 8141  5  2 92  0  1
 0  0      0    165     14    434    0    0     0     0  163  397  0  0 100  0  0
 0  0      0    165     14    434    0    0     0     0  164  496  0  0 100  0  0
 0  0      0    165     14    434    0    0     0     0  201  739  0  0 100  0  0
 0  0      0    165     14    434    0    0     0     0  165  624  0  0 100  0  0
 0  0      0    165     14    434    0    0     0     0  163  660  0  0 100  0  0
 0  0      0    165     14    434    0    0     0     0  162  616  0  0 100  0  0
 0  0      0    165     14    434    0    0     0     0  200  742  0  0 100  0  0
 0  0      0    164     14    434    0    0     0     0  185  645  0  0 100  0  0
 0  0      0    164     14    434    0    0     0     0  174  684  0  0 100  0  0
 0  0      0    163     14    434    0    0     0     0  197  777  4  3 93  0  0
 0  0      0    159     14    434    0    0     0    20  274  615  1  0 99  0  0
 0  0      0    163     14    435    0    0     0     0  259  868 15  5 80  0  0
 0  0      0    163     14    435    0    0     0     0  164  668  0  0 100  0  0
 0  0      0    159     14    435    0    0     0     0  193  551  0  1 99  0  0
